20210607
menu_vp001.arc,[CM3D2 Append][Visual Pack]
menu_pp001.arc,[CM3D2 Append][Plus Pack]
menu_pp002.arc,[CM3D2 Append][Plus Pack ACT 2]
menu_pp003.arc,[CM3D2 Append][Plus Pack ACT 3]
menu_pp003p.arc,[CM3D2 Append][Plus Pack ACT 3.1]
menu_vrcom.arc,[CM3D2 Append][Vacation Pack VR]
menu_karaoke001.arc,[CM3D2 Append][Karaoke Pack VR]
menu_karaoke002.arc,[CM3D2 Append][Karaoke Pack VR 2]
csv_personal001.arc,[CM3D2 Append][Personality Add-on][Yandere]
csv_personal002.arc,[CM3D2 Append][Personality Add-on][Oneechan]
csv_personal003.arc,[CM3D2 Append][Personality Add-on][Genki]
csv_personal004.arc,[CM3D2 Append][Personality Add-on][Sadist]
menu_magazine001.arc,[CM3D2 Append][Fanbook 1]
menu_magazine002.arc,[CM3D2 Append][Fanbook 2]
menu_dlc002.arc,[CM3D2 Shop][DLC Set Vol.01]
menu_dlc006.arc,[CM3D2 Shop][DLC Set Vol.02]
menu_dlc010.arc,[CM3D2 Shop][DLC Set Vol.03]
menu_dlc015.arc,[CM3D2 Shop][DLC Set Vol.04]
menu_dlc019.arc,[CM3D2 Shop][DLC Set Vol.05]
menu_dlc023.arc,[CM3D2 Shop][DLC Set Vol.06]
menu_dlc028.arc,[CM3D2 Shop][DLC Set Vol.07]
menu_dlc032.arc,[CM3D2 Shop][DLC Set Vol.08]
menu_dlc036.arc,[CM3D2 Shop][DLC Set Vol.09]
menu_dlc040.arc,[CM3D2 Shop][DLC Set Vol.10]
menu_dlc047.arc,[CM3D2 Shop][DLC Set Vol.11]
menu_dlc053.arc,[CM3D2 Shop][DLC Set Vol.12]
menu_dlc059.arc,[CM3D2 Shop][Monthly Pack 01]
menu_dlc065.arc,[CM3D2 Shop][Monthly Pack 02]
menu_dlc071.arc,[CM3D2 Shop][Monthly Pack 03]
menu_dlc075.arc,[CM3D2 Shop][Monthly Pack 04]
menu_dlc086.arc,[CM3D2 Shop][Monthly Pack 05]
menu_dlc091.arc,[CM3D2 Shop][Monthly Pack 06]
menu_dlc102.arc,[CM3D2 Shop][Monthly Pack 07]
menu_dlc106.arc,[CM3D2 Shop][Monthly Pack 08]
menu_dlc114.arc,[CM3D2 Shop][Monthly Pack 09]
menu_dlc119.arc,[CM3D2 Shop][Monthly Pack 10]
menu_dlc132.arc,[CM3D2 Shop][Monthly Pack 11]
